id,domain,question,option1,option2,option3,option4,correctAnswerIndex,rationale
1,D1,"An IS auditor is performing a preliminary review of an organization's IT general controls. What is the PRIMARY purpose of this initial review?","To create the final audit report and recommendations.","To determine the scope and nature of the audit's fieldwork.","To design detailed technical testing for logical access effectiveness.","To estimate the monetary value of errors in the account balance.",1,"The preliminary review helps the auditor assess risk and reliance on controls, which directly dictates the extent (scope and nature) of subsequent detailed testing (fieldwork)."
2,D1,"An IS auditor plans to use the work of the internal quality assurance (QA) department. Before relying on their work, the auditor must assess the QA department's:","Independence and budget.","Objectivity and technical competence.","Proximity to the IS audit function.","Staffing levels and tenure.",1,"ISACA standards require the auditor to assess the independence (objectivity) and qualifications (technical competence) of others' work before relying on it."
3,D1,"What is the fundamental difference between compliance testing and substantive testing?","Compliance testing verifies data accuracy; substantive testing verifies control operation.","Compliance testing verifies controls are operating as prescribed; substantive testing verifies the accuracy of data/transactions.","Compliance testing is used for large samples; substantive testing is for small samples.","Compliance testing is required by regulations; substantive testing is optional.",1,"Compliance testing (Attribute Sampling) checks control effectiveness. Substantive testing (Variable Sampling) checks the monetary or data accuracy."
4,D1,"During an audit, management agrees with a finding but states the cost to implement the recommended control is too high. What is the auditor's appropriate response?","Insist that the control be implemented immediately to mitigate the risk.","Develop a new, cheaper recommendation for management.","Document management's risk acceptance decision and confirm it is authorized by appropriate personnel.","Report the issue to the external auditor for arbitration.",2,"The auditor documents management's formal risk acceptance; the decision to accept a risk belongs to management, not the auditor."
5,D1,"The IS auditor is required to perform tests on a large volume of transactions. Which audit technique is the most efficient and effective for this task?","Manual sampling and review of paper documentation.","Generalized Audit Software (GAS).","Interviews with management.","Observation of employee activities.",1,"GAS/CAATs are designed to efficiently process and analyze large quantities of data for anomalies, patterns, and errors, which is impractical for manual review."
6,D1,"The Audit Charter should be approved by the highest level of governance (Board/Audit Committee) primarily to ensure the audit function has:","A sufficient budget for the year.","Independence and authority.","Defined performance metrics.","A guarantee of zero finding disputes.",1,"Formal approval by the Board grants the audit function the necessary organizational independence and authority to carry out its responsibilities without undue influence."
7,D1,"When using attribute sampling to test control effectiveness, which factor MOST directly affects the size of the audit sample?","The seniority of the control owner.","The expected error rate.","The geographical location of the IT system.","The cost of the audit software.",1,"The higher the auditor's expected error rate (the less reliable the control appears), the larger the sample size must be to achieve a statistically valid conclusion."
8,D1,"An IS auditor finds a significant control weakness. Which action should the auditor take FIRST?","Issue a formal, immediate advisory to the CEO.","Discuss the finding with the line manager responsible for the area to verify the facts.","Begin a full forensic investigation.","Determine the exact monetary loss before proceeding.",1,"Before formal reporting, the auditor must confirm the facts of the finding with the local management to ensure accuracy and avoid surprise."
9,D1,"A Control Self-Assessment (CSA) program is LEAST effective when the objective is to:","Increase employee risk awareness.","Shift control monitoring to functional areas.","Provide an independent assurance opinion on the design of controls.","Identify control gaps from the business perspective.",2,"CSA is performed by the business unit itself, lacking the independence required to provide an objective assurance opinion like an internal audit."
10,D1,"Which type of audit report would be MOST appropriate if the IS auditor finds significant control deficiencies that could lead to material financial losses?","Unqualified opinion.","Qualified opinion.","Adverse opinion.","Disclaimer of opinion.",2,"An adverse opinion is issued when the controls or systems are so deficient that the auditor believes they cannot rely on them to safeguard assets or data integrity."
11,D1,"What is the primary advantage of using embedded audit modules (EAMs) for continuous auditing?","EAMs eliminate the need for any human judgment in audit.","EAMs allow the auditor to capture data on selected transactions in real-time.","EAMs reduce the licensing costs for all application software.","EAMs automatically correct errors when they are detected.",1,"EAMs are code integrated into the application, enabling continuous, real-time capture and review of transactions based on defined audit criteria."
12,D1,"An IS auditor discovers a new threat not covered by the current risk assessment. The auditor should next:","Immediately redesign the control framework to address the threat.","Immediately inform the appropriate IT risk management personnel.","Conduct a cost-benefit analysis of the new control.","Wait until the next scheduled risk assessment review.",1,"The auditor's role is to identify and report the risk to the responsible party (Risk Management), not to conduct the assessment themselves."
13,D1,"Which of the following is an auditor's concern when using an integrated test facility (ITF)?","The ITF requires the system to be taken offline for testing.","Ensuring that ITF transactions are clearly identified and segregated from live production data.","The ITF cannot be used on mainframe systems.","The ITF is too expensive to implement in most systems.",1,"ITF uses dummy data processed within the production system; the primary concern is preventing the fake transactions from corrupting or being confused with the actual production data."
